id,num01,num02,cat01,cat02,cat03,cat04,cat05,cat06,cat07,cat08,target
SID100109,0,70.0,6,67,18,326,,1,2147745792,,21
SID100255,35,,2,49,24,263,9.0,1,790528,4.0,21
SID100284,0,60.0,0,105,23,1594,,0,2147745792,,19
SID100315,12,70.0,7,19,23,1590,,0,2147745824,4.0,25
SID100374,0,70.0,3,24,34,1969,,1,2048,,19
SID100408,0,70.0,0,79,29,1770,,0,2147746304,,17
SID100519,0,60.0,2,9,35,772,,1,2147753984,,29
SID10052,0,70.0,7,106,20,1377,10.0,0,2147749888,,37
SID10054,0,60.0,2,9,21,1208,,1,2147753984,,19
SID100578,31,80.0,2,7,19,750,21.0,1,262144,64.0,29
SID100617,110,70.0,2,34,23,825,,1,262144,4.0,52
SID100618,0,80.0,0,79,30,1484,,0,2147745792,,21
SID100853,0,70.0,2,34,25,1082,,1,17039360,,62
SID100885,0,50.0,0,75,4,943,,1,2147745792,,23
SID100897,0,70.0,0,75,4,943,,1,2147745792,,23
SID100900,0,60.0,2,49,4,637,10.0,0,2147745792,,15
SID100928,0,80.0,7,106,10,624,0.0,0,266240,,19
SID101112,33,80.0,7,106,28,628,21.0,0,2147753984,,23
SID101247,0,80.0,2,49,0,1937,21.0,0,262144,,15
SID101451,0,60.0,7,68,15,147,21.0,1,2147745792,,17
SID101499,0,60.0,2,48,17,1257,,1,262144,,17
SID101622,0,70.0,8,64,10,1981,,0,2147745792,,19
SID101651,0,70.0,2,7,18,1202,,1,262144,4.0,21
SID101657,0,80.0,0,79,35,341,,1,2147745792,,25
SID101660,29,80.0,9,107,25,772,21.0,0,2147745792,,19
SID101697,0,,7,68,40,1770,,1,2147746304,,25
SID101735,0,70.0,0,56,29,427,,0,2147746304,,17
SID101741,0,,0,59,33,1774,,0,134217728,,31
SID101902,41,70.0,7,69,31,187,21.0,1,3221487616,4.0,29
SID101941,0,40.0,7,68,29,129,,1,16777728,,19
SID101942,0,70.0,7,69,19,750,,0,2147745792,,17
SID101962,0,60.0,0,56,8,660,0.0,0,268697600,,15
SID101966,0,,1,86,34,1504,21.0,0,2147745856,,23
SID102008,154,70.0,2,9,27,1083,21.0,1,262144,4.0,62
SID102053,0,80.0,2,40,4,1362,9.0,0,4295229440,,19
SID102057,0,70.0,2,40,28,628,,0,2147753984,,17
SID102346,0,70.0,7,69,6,1615,,0,819200,,31
SID102388,0,70.0,0,79,6,1774,,1,786432,,23
SID102463,0,80.0,7,68,6,73,21.0,0,2148270080,,13
SID102471,98,80.0,0,77,23,1292,0.0,0,2147749888,5.0,47
SID102483,0,70.0,2,7,35,117,,1,262144,,15
SID102524,0,70.0,2,9,15,147,,1,2164523008,,29
SID102640,0,80.0,9,71,25,138,21.0,0,2359298,,35
SID102915,0,80.0,2,48,4,1202,,1,2147745794,,27
SID102919,0,70.0,1,86,23,1449,21.0,1,2147745856,,19
SID102937,0,70.0,2,83,10,1935,,1,262144,,19
SID102979,0,80.0,2,12,13,772,,1,2147745792,,19
SID102982,0,80.0,2,12,13,772,,1,2147745792,,19
SID102983,23,70.0,0,77,23,1594,,0,2359312,,21
SID103096,0,70.0,0,56,21,1477,,0,2147745792,,21
SID103278,0,,0,79,8,1774,,1,268698624,,15
SID103292,0,90.0,0,75,19,1018,,1,262144,,19
SID10332,111,80.0,1,2,28,871,,0,2147753984,4.0,45
SID103341,0,80.0,7,103,3,1312,,1,262144,,15
SID103345,0,80.0,1,18,7,427,,1,2147745792,,17
SID103347,0,,2,48,10,716,0.0,1,262144,,21
SID103420,0,50.0,2,12,27,350,0.0,0,2147745792,,15
SID103481,22,70.0,2,41,17,1803,0.0,0,2147753984,6.0,25
SID103484,0,60.0,7,106,6,1504,,1,134479888,,57
SID103553,231,70.0,2,9,6,138,,1,4980736,4.0,45
SID103571,0,70.0,1,86,18,1421,,1,2147745792,,19
SID103748,0,80.0,2,49,16,1715,,0,262144,,17
SID103822,0,70.0,0,59,28,1503,21.0,0,270338,,31
SID103848,0,70.0,2,49,39,1205,21.0,0,268697600,,13
SID103883,0,80.0,1,18,34,430,,0,2164260864,,19
SID103999,0,70.0,2,49,34,1503,,0,16777216,,15
SID104006,115,,8,57,18,967,,1,262144,4.0,39
SID10402,0,70.0,2,34,13,138,21.0,1,262144,,15
SID104035,0,70.0,9,13,20,1202,,1,270336,,19
SID10410,0,70.0,0,75,27,350,,1,2359312,,19
SID104138,0,70.0,0,75,24,1778,9.0,0,262144,,25
SID104172,0,70.0,2,40,18,1072,21.0,0,262144,,17
SID104195,0,70.0,8,57,27,977,21.0,0,262144,,25
SID10425,0,70.0,0,75,27,350,,1,2359312,,21
SID104272,0,70.0,0,77,35,826,,1,262144,,23
SID104412,0,70.0,5,80,18,1336,,0,2147745792,,17
SID104469,105,60.0,2,14,23,1517,,0,262144,68.0,37
SID10448,0,60.0,6,67,25,1018,,1,2147745792,,29
SID10455,0,60.0,6,67,23,898,,0,2147745792,,23
SID104562,0,70.0,0,77,4,1499,,0,262144,,19
SID104566,0,70.0,2,7,0,105,,1,2147753984,,21
SID104599,0,60.0,2,12,27,1080,,1,262144,,23
SID10465,0,,9,13,19,1202,,1,2147745792,,23
SID104700,0,90.0,9,13,13,1205,21.0,1,2147483648,,21
SID104727,0,80.0,0,79,30,1781,,1,2164523008,,21
SID104825,0,,9,13,19,1018,,1,2147745792,,29
SID104858,0,60.0,7,19,7,426,,1,1074331648,,11
SID10491,0,80.0,0,79,40,1495,,1,262144,,25
SID104921,0,70.0,2,41,18,1173,,1,262144,,33
SID104932,0,60.0,7,19,7,426,,1,1074331648,,11
SID104989,0,80.0,2,49,2,1937,,1,268697600,,21
SID105002,0,,7,69,17,1098,,1,2147745792,,33
SID105013,0,80.0,7,103,2,145,,0,262656,,23
SID105052,0,80.0,2,9,14,2015,,0,2147745792,,27
SID105159,0,70.0,0,79,21,1202,,1,262144,,17
SID105179,0,80.0,0,79,4,1472,,1,262144,,31
SID105323,0,60.0,2,12,10,784,,1,6442713088,,33
SID105372,0,70.0,7,69,5,410,,0,1074331648,,21
SID105373,77,60.0,2,55,7,825,,0,1611137024,4.0,25
SID105552,0,50.0,0,76,40,1495,,0,17039424,,19
SID105565,0,,0,79,7,772,,0,1074528256,,31
SID10567,108,60.0,8,61,2,1815,,0,268698624,68.0,29
SID105682,0,50.0,9,43,18,711,,1,2147746304,,25
SID105804,0,70.0,0,74,20,304,0.0,1,262144,,17
SID105856,0,60.0,1,86,8,1439,,0,2147746816,,27
SID10593,0,60.0,7,19,7,105,,1,2148270080,,35
SID105968,0,,2,12,27,764,,1,262144,,23
SID106046,0,80.0,0,76,35,1774,21.0,0,2147753984,,19
SID106060,48,60.0,1,86,21,1596,21.0,1,262144,4.0,29
SID106063,0,80.0,0,76,35,1774,21.0,0,2147753984,,19
SID106132,127,80.0,1,2,15,1832,,1,2147745792,4.0,47
SID106151,0,60.0,8,92,27,55,,1,2147745792,,25
SID106231,0,90.0,0,77,25,430,21.0,0,17039392,,41
SID10626,50,70.0,0,76,29,826,,0,2147753984,4.0,25
SID106273,37,80.0,7,106,23,2008,21.0,0,2148270080,4.0,31
SID10631,0,60.0,7,103,19,1685,,1,262144,,17
SID10633,0,80.0,1,0,34,427,,1,16777312,,33
SID10642,0,80.0,2,7,10,2013,,1,2147753984,,27
SID106579,0,80.0,7,103,21,41,21.0,1,262144,,15
SID106634,0,80.0,2,34,25,1616,21.0,1,2883584,,27
SID106772,0,70.0,9,13,24,763,0.0,0,2147745792,,15
SID106852,77,,0,76,28,1471,,0,2147745792,4.0,29
SID106855,80,60.0,2,83,29,1551,,1,262144,4.0,35
SID106886,0,70.0,1,18,3,427,21.0,0,2147746304,,17
SID107086,0,70.0,2,9,31,1290,,1,262146,,35
SID107111,0,90.0,0,79,5,1774,,0,2147753984,,27
SID107124,0,60.0,9,13,27,1197,,1,262144,,23
SID107149,145,,1,86,6,1504,,1,2164523008,4.0,43
SID107159,0,60.0,2,49,14,145,,1,2147483648,,13
SID10717,0,,2,34,6,1439,,0,794624,,25
SID107373,0,90.0,2,49,3,1377,21.0,0,2147746304,,17
SID107383,121,70.0,0,79,10,1293,8.0,0,2164523008,4.0,43
SID107401,0,70.0,2,23,29,711,,1,2147753984,,27
SID107402,0,70.0,2,23,29,711,,1,2147753984,,27
SID107532,0,50.0,0,79,10,1402,,0,262144,,19
SID107533,0,80.0,7,106,23,1078,21.0,1,2147745792,,15
SID107585,0,70.0,1,86,18,405,,1,1090519104,,37
SID107714,0,,0,56,31,187,,0,2147753984,,23
SID107721,0,80.0,5,94,7,1633,,1,2048,,17
SID107730,0,50.0,2,49,14,1985,,0,2281963520,,19
SID107742,0,,6,67,14,145,,1,2164523008,,17
SID107752,0,80.0,8,57,31,1311,,1,2147745792,,27
SID107898,0,50.0,8,92,29,825,,1,268435968,,29
SID107987,0,70.0,6,67,18,1897,,1,2147745824,,23
SID107993,0,70.0,6,67,18,1897,,1,2147745824,,23
SID107997,0,70.0,2,9,27,1302,21.0,1,262144,,23
SID10808,0,70.0,1,18,23,427,,1,2147745792,,27
SID108157,0,80.0,6,67,4,352,21.0,0,262144,,15
SID108212,0,70.0,2,12,4,352,21.0,0,262144,,15
SID108314,0,,2,48,27,1302,17.0,0,2359298,,25
SID108328,0,60.0,7,103,27,1616,,1,2147745792,,45
SID108342,0,70.0,9,13,19,783,,1,262144,,19
SID108382,0,70.0,0,74,18,750,,1,6442713088,,25
SID108408,0,80.0,2,49,23,1363,10.0,0,2147745792,,13
SID108410,56,70.0,0,56,2,1774,,0,268438528,,39
SID10846,0,,0,76,39,1005,,1,268697600,,23
SID108613,0,70.0,2,48,4,352,21.0,0,262144,,15
SID10867,0,80.0,2,9,13,1169,16.0,0,2147745792,,19
SID108676,0,70.0,2,7,34,138,,1,16777312,,19
SID108687,0,70.0,6,67,4,352,21.0,0,262144,,15
SID108722,0,,2,34,21,1269,,1,2149842944,,35
SID108868,0,,2,49,6,1935,,1,2147753984,,33
SID108929,93,90.0,2,49,23,1937,0.0,0,2147745792,,19
SID108970,0,70.0,5,80,21,1336,,1,262144,,11
SID109020,0,70.0,0,77,2,1814,,0,264704,,21
SID109122,0,60.0,2,12,13,671,,1,262144,,21
SID109161,0,60.0,2,55,39,1440,21.0,0,268697632,,23
SID109181,0,60.0,9,13,18,2013,,1,2147745792,,25
SID109434,60,60.0,0,75,33,711,,0,262144,4.0,23
SID109629,0,80.0,2,49,20,1202,,1,2147753984,,17
SID109646,0,90.0,0,79,5,1774,,0,3221487616,,25
SID109684,0,50.0,7,69,33,138,,0,2147745792,,25
SID109687,0,80.0,2,49,18,772,,1,262144,,15
SID109918,0,70.0,5,15,5,1041,,0,2148270080,,17
SID110045,0,70.0,9,13,6,514,,1,2147745792,,15
SID110076,0,,2,34,4,628,,0,2147745792,,17
SID110136,0,70.0,0,56,17,1480,,0,2147753984,,17
